,alb_state_key,alb_num,alb_id,state,state_num,st_group_alb_search_avg,alb_group_st_search_avg,alb_r_date,record_type,tvflag,st_alb_pop_group,album_event,alb_track_cnt,wk1_alb_sales,tot_alb_plays,top_s_cnt,avg_daily_alb_streams,top_alb_count,top_alb_n,days_sr,alb_ann_day,alb_ann_yr,alb_r_day,alb_r_yr,acou_m,dance_m,ener_m,instru_m,live_m,loud_m,speech_m,temp_m,val_m,dur_m,color,alb_genre
21,"1989, Massachusetts",5,1989,Massachusetts,22,80.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
22,"1989, Michigan",5,1989,Michigan,23,65.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
23,"1989, Minnesota",5,1989,Minnesota,24,71.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
24,"1989, Mississippi",5,1989,Mississippi,25,67.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
25,"1989, Missouri",5,1989,Missouri,26,67.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
26,"1989, Montana",5,1989,Montana,27,66.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
27,"1989, Nebraska",5,1989,Nebraska,28,74.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
28,"1989, Nevada",5,1989,Nevada,29,56.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
29,"1989, New Hampshire",5,1989,New Hampshire,30,80.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
30,"1989, New Jersey",5,1989,New Jersey,31,68.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
31,"1989, New Mexico",5,1989,New Mexico,32,56.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
32,"1989, New York",5,1989,New York,33,68.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
33,"1989, North Carolina",5,1989,North Carolina,34,64.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
34,"1989, North Dakota",5,1989,North Dakota,35,75.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
35,"1989, Ohio",5,1989,Ohio,36,71.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
36,"1989, Oklahoma",5,1989,Oklahoma,37,70.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
37,"1989, Oregon",5,1989,Oregon,38,40.0,67.0,2014-10-27,original,False,Low search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
38,"1989, Pennsylvania",5,1989,Pennsylvania,39,77.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
39,"1989, Rhode Island",5,1989,Rhode Island,40,99.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
40,"1989, South Carolina",5,1989,South Carolina,41,68.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
41,"1989, South Dakota",5,1989,South Dakota,42,78.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
42,"1989, Tennessee",5,1989,Tennessee,43,76.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
43,"1989, Texas",5,1989,Texas,44,60.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
44,"1989, Utah",5,1989,Utah,45,87.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
45,"1989, Vermont",5,1989,Vermont,46,72.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
46,"1989, Virginia",5,1989,Virginia,47,46.0,67.0,2014-10-27,original,False,Low search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
47,"1989, Washington",5,1989,Washington,48,62.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
48,"1989, West Virginia",5,1989,West Virginia,49,62.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
49,"1989, Wisconsin",5,1989,Wisconsin,50,68.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
50,"1989, Wyoming",5,1989,Wyoming,51,53.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
51,"1989TV, Alabama",14,1989TV,Alabama,1,48.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
52,"1989TV, Alaska",14,1989TV,Alaska,2,49.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
53,"1989TV, Arizona",14,1989TV,Arizona,3,52.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
54,"1989TV, Arkansas",14,1989TV,Arkansas,4,56.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
55,"1989TV, California",14,1989TV,California,5,53.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
56,"1989TV, Colorado",14,1989TV,Colorado,6,66.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
57,"1989TV, Connecticut",14,1989TV,Connecticut,7,64.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
58,"1989TV, Delaware",14,1989TV,Delaware,8,59.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
59,"1989TV, District of Columbia",14,1989TV,District of Columbia,9,62.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
60,"1989TV, Florida",14,1989TV,Florida,10,51.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
61,"1989TV, Georgia",14,1989TV,Georgia,11,48.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
62,"1989TV, Hawaii",14,1989TV,Hawaii,12,49.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
63,"1989TV, Idaho",14,1989TV,Idaho,13,62.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
64,"1989TV, Illinois",14,1989TV,Illinois,14,61.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
65,"1989TV, Indiana",14,1989TV,Indiana,15,64.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
66,"1989TV, Iowa",14,1989TV,Iowa,16,68.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
67,"1989TV, Kansas",14,1989TV,Kansas,17,99.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
68,"1989TV, Kentucky",14,1989TV,Kentucky,18,58.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
69,"1989TV, Louisiana",14,1989TV,Louisiana,19,47.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
70,"1989TV, Maine",14,1989TV,Maine,20,61.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
