period_state,period,period_start_date,state,g_search_score,album_event,album_id,album_release_date,album_release_day,periods_from_release,us_search_avg,us_peak_search,global_search_avg,global_peak_search
"2006/09/28-2006/10/10, New Hampshire",2006/09/28-2006/10/10,2006-09-28,New Hampshire,18,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, New Jersey",2006/09/28-2006/10/10,2006-09-28,New Jersey,4,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, New Mexico",2006/09/28-2006/10/10,2006-09-28,New Mexico,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, New York",2006/09/28-2006/10/10,2006-09-28,New York,4,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, North Carolina",2006/09/28-2006/10/10,2006-09-28,North Carolina,16,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, North Dakota",2006/09/28-2006/10/10,2006-09-28,North Dakota,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Ohio",2006/09/28-2006/10/10,2006-09-28,Ohio,16,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Oklahoma",2006/09/28-2006/10/10,2006-09-28,Oklahoma,24,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Oregon",2006/09/28-2006/10/10,2006-09-28,Oregon,9,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Pennsylvania",2006/09/28-2006/10/10,2006-09-28,Pennsylvania,18,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Rhode Island",2006/09/28-2006/10/10,2006-09-28,Rhode Island,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, South Carolina",2006/09/28-2006/10/10,2006-09-28,South Carolina,9,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, South Dakota",2006/09/28-2006/10/10,2006-09-28,South Dakota,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Tennessee",2006/09/28-2006/10/10,2006-09-28,Tennessee,33,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Texas",2006/09/28-2006/10/10,2006-09-28,Texas,7,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Utah",2006/09/28-2006/10/10,2006-09-28,Utah,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Vermont",2006/09/28-2006/10/10,2006-09-28,Vermont,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Virginia",2006/09/28-2006/10/10,2006-09-28,Virginia,11,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Washington",2006/09/28-2006/10/10,2006-09-28,Washington,4,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, West Virginia",2006/09/28-2006/10/10,2006-09-28,West Virginia,100,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Wisconsin",2006/09/28-2006/10/10,2006-09-28,Wisconsin,12,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Wyoming",2006/09/28-2006/10/10,2006-09-28,Wyoming,60,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/10/11-2006/10/23, Alabama",2006/10/11-2006/10/23,2006-10-11,Alabama,19,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Alaska",2006/10/11-2006/10/23,2006-10-11,Alaska,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Arizona",2006/10/11-2006/10/23,2006-10-11,Arizona,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Arkansas",2006/10/11-2006/10/23,2006-10-11,Arkansas,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, California",2006/10/11-2006/10/23,2006-10-11,California,2,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Colorado",2006/10/11-2006/10/23,2006-10-11,Colorado,8,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Connecticut",2006/10/11-2006/10/23,2006-10-11,Connecticut,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Delaware",2006/10/11-2006/10/23,2006-10-11,Delaware,26,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, District of Columbia",2006/10/11-2006/10/23,2006-10-11,District of Columbia,7,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Florida",2006/10/11-2006/10/23,2006-10-11,Florida,4,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Georgia",2006/10/11-2006/10/23,2006-10-11,Georgia,11,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
